Gene	Allele_major	Allele_minor	Population	N_individuals	MAF
ASPM	non-D	D	SE & SW Bantu	8	0
ASPM	non-D	D	San	7	0
ASPM	non-D	D	Mbuti Pygmy	14	0.07
ASPM	non-D	D	Masai	26	0.12
ASPM	non-D	D	Sandawe	33	0.23
ASPM	non-D	D	Burunge	28	0.13
ASPM	non-D	D	Turu	27	0.07
ASPM	non-D	D	NE Bantu	12	0.04
ASPM	non-D	D	Biaka Pygmy	32	0.06
ASPM	non-D	D	Zime	25	0.02
ASPM	non-D	D	Bakola Pygmy	27	0
ASPM	non-D	D	Bamoun	29	0.05
ASPM	non-D	D	Yoruba	24	0.02
ASPM	non-D	D	Mandenka	24	0.04
ASPM	non-D	D	Mozabite	29	0.31
ASPM	non-D	D	Druze	45	0.52
ASPM	non-D	D	Palestinian	43	0.47
ASPM	non-D	D	Bedouin	46	0.37
ASPM	non-D	D	Hazara	19	0.16
ASPM	non-D	D	Balochi	23	0.13
ASPM	non-D	D	Pathan	21	0.41
ASPM	non-D	D	Burusho	23	0.28
ASPM	non-D	D	Makrani	25	0.32
ASPM	non-D	D	Brahui	24	0.33
ASPM	non-D	D	Kalash	25	0.6
ASPM	non-D	D	Sindhi	25	0.44
ASPM	non-D	D	Hezhen	9	0.06
ASPM	non-D	D	Mongola	9	0.11
ASPM	non-D	D	Daur	8	0.06
ASPM	non-D	D	Orogen	10	0.05
ASPM	non-D	D	Miaozu	10	0.1
ASPM	non-D	D	Yizu	10	0.25
ASPM	non-D	D	Tujia	10	0.2
ASPM	non-D	D	Han	42	0.18
ASPM	non-D	D	Xibo	9	0
ASPM	non-D	D	Uygur	10	0.3
ASPM	non-D	D	Dai	10	0.25
ASPM	non-D	D	Lahu	10	0.1
ASPM	non-D	D	She	7	0.21
ASPM	non-D	D	Naxi	9	0.11
ASPM	non-D	D	Tu	9	0.17
ASPM	non-D	D	Cambodian	10	0
ASPM	non-D	D	Japanese	28	0.11
ASPM	non-D	D	Yakut	24	0.13
ASPM	non-D	D	Papuan	16	0.59
ASPM	non-D	D	NAN Melanesian	18	0.11
ASPM	non-D	D	French Basque	15	0.4
ASPM	non-D	D	French	29	0.5
ASPM	non-D	D	Sardinian	27	0.46
ASPM	non-D	D	North Italian	12	0.46
ASPM	non-D	D	Tuscan	8	0.38
ASPM	non-D	D	Orcadian	16	0.41
ASPM	non-D	D	Russian	25	0.38
ASPM	non-D	D	Adygei	15	0.4
ASPM	non-D	D	Karitiana	24	0
ASPM	non-D	D	Surui	21	0
ASPM	non-D	D	Colombian	13	0.04
ASPM	non-D	D	Pima	25	0.02
ASPM	non-D	D	Maya	24	0.13
