Gene	Allele_major	Allele_minor	Population	N_individuals	MAF
MCPH1	D	non-D	SE & SW Bantu	8	0.687
MCPH1	D	non-D	San	7	0.929
MCPH1	D	non-D	Mbuti Pygmy	15	0.967
MCPH1	D	non-D	Masai	27	0.704
MCPH1	D	non-D	Sandawe	32	0.609
MCPH1	D	non-D	Burunge	28	0.696
MCPH1	D	non-D	Turu	23	0.848
MCPH1	D	non-D	NE Bantu	12	0.75
MCPH1	D	non-D	Biaka Pygmy	32	0.734
MCPH1	D	non-D	Zime	23	0.913
MCPH1	D	non-D	Bakola Pygmy	24	0.896
MCPH1	D	non-D	Bamoun	28	0.821
MCPH1	D	non-D	Yoruba	25	0.76
MCPH1	D	non-D	Mandenka	24	0.833
MCPH1	D	non-D	Mozabite	29	0.465
MCPH1	D	non-D	Druze	44	0.398
MCPH1	D	non-D	Palestinian	40	0.362
MCPH1	D	non-D	Bedouin	44	0.454
MCPH1	D	non-D	Hazara	20	0.15
MCPH1	D	non-D	Balochi	23	0.217
MCPH1	D	non-D	Pathan	23	0.239
MCPH1	D	non-D	Burusho	25	0.34
MCPH1	D	non-D	Makrani	24	0.375
MCPH1	D	non-D	Brahui	25	0.22
MCPH1	D	non-D	Kalash	24	0.375
MCPH1	D	non-D	Sindhi	25	0.22
MCPH1	D	non-D	Hezhen	9	0.222
MCPH1	D	non-D	Mongola	10	0
MCPH1	D	non-D	Daur	10	0.15
MCPH1	D	non-D	Orogen	10	0
MCPH1	D	non-D	Miaozu	9	0.222
MCPH1	D	non-D	Yizu	10	0.15
MCPH1	D	non-D	Tujia	10	0.25
MCPH1	D	non-D	Han	41	0.171
MCPH1	D	non-D	Xibo	9	0.167
MCPH1	D	non-D	Uygur	10	0.1
MCPH1	D	non-D	Dai	9	0.444
MCPH1	D	non-D	Lahu	10	0.15
MCPH1	D	non-D	She	9	0.111
MCPH1	D	non-D	Naxi	10	0.05
MCPH1	D	non-D	Tu	10	0.25
MCPH1	D	non-D	Cambodian	11	0.273
MCPH1	D	non-D	Japanese	27	0.222
MCPH1	D	non-D	Yakut	25	0.02
MCPH1	D	non-D	Papuan	17	0.088
MCPH1	D	non-D	NAN Melanesian	18	0.278
MCPH1	D	non-D	French Basque	24	0.167
MCPH1	D	non-D	French	28	0.214
MCPH1	D	non-D	Sardinian	26	0.096
MCPH1	D	non-D	North Italian	13	0.231
MCPH1	D	non-D	Tuscan	8	0.125
MCPH1	D	non-D	Orcadian	16	0.187
MCPH1	D	non-D	Russian	24	0.208
MCPH1	D	non-D	Adygei	15	0.367
MCPH1	D	non-D	Karitiana	21	0
MCPH1	D	non-D	Surui	20	0
MCPH1	D	non-D	Colombian	11	0
MCPH1	D	non-D	Pima	25	0.08
MCPH1	D	non-D	Maya	25	0.08
