Source	Code	Description	Group_area	Group_area_code	ALFRED_sample_UID	Metapopulation_ID	Metapopulation_name	URL	Comments	Language_ISOs	Language_comments
1000Genomes	ALL	All Populations				WRLD	World			?	
1000Genomes	AFR	﻿African				AFR	African			?	
1000Genomes	AMR	Ad Mixed American				AMER_ADMIX	Admixed_American			?	
1000Genomes	EUR	European				EURO	European			?	
1000Genomes	EAS	East Asian				ASIA_E	East_Asian			?	
1000Genomes	SAS	South Asian				ASIA_S	South_Asian			?	
1000Genomes	CHB	Han Chinese in Beijing, China	East Asian	EAS	SA004058R			https://www.internationalgenome.org/faq/which-populations-are-part-your-study/			
1000Genomes	JPT	Japanese in Tokyo, Japan	East Asian	EAS	SA004060K						
1000Genomes	CHS	Southern Han Chinese	East Asian	EAS	SA004059S						
1000Genomes	CDX	Chinese Dai in Xishuangbanna, China	East Asian	EAS	SA004238R						
1000Genomes	KHV	Kinh in Ho Chi Minh City, Vietnam	East Asian	EAS	SA004249T						
1000Genomes	CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	European	EUR	SA004250L						
1000Genomes	TSI	Toscani in Italia	European	EUR	SA004057Q						
1000Genomes	FIN	Finnish in Finland	European	EUR	SA004049R						
1000Genomes	GBR	British in England and Scotland	European	EUR	SA004050J						
1000Genomes	IBS	Iberian Population in Spain	European	EUR	SA004108N						
1000Genomes	YRI	Yoruba in Ibadan, Nigeria	African	AFR	SA004048Q						
1000Genomes	LWK	Luhya in Webuye, Kenya	African	AFR	SA004046O						
1000Genomes	GWD	Gambian in Western Divisions in the Gambia	African	AFR	SA003646T						
1000Genomes	MSL	Mende in Sierra Leone	African	AFR	SA004244O						
1000Genomes	ESN	Esan in Nigeria	African	AFR	SA004248S						
1000Genomes	ASW	Americans of African Ancestry in SW USA	African	AFR	SA004047P						
1000Genomes	ACB	African Caribbeans in Barbados	African	AFR	SA004242M						
1000Genomes	MXL	Mexican Ancestry from Los Angeles USA	Ad Mixed American	AMR	SA004110G						
1000Genomes	PUR	Puerto Ricans from Puerto Rico	Ad Mixed American	AMR	SA004111H						
1000Genomes	CLM	Colombians from Medellin, Colombia	Ad Mixed American	AMR	SA004109O						
1000Genomes	PEL	Peruvians from Lima, Peru	Ad Mixed American	AMR	SA004245P						
1000Genomes	GIH	Gujarati Indian from Houston, Texas	South Asian	SAS	SA004246Q						
1000Genomes	PJL	Punjabi from Lahore, Pakistan	South Asian	SAS	SA004240K						
1000Genomes	BEB	Bengali from Bangladesh	South Asian	SAS	SA004239S						
1000Genomes	STU	Sri Lankan Tamil from the UK	South Asian	SAS	SA004241L						
1000Genomes	ITU	Indian Telugu from the UK	South Asian	SAS	SA004247R						
gnomAD	afr	African/African-American				AFR	African	https://gnomad.broadinstitute.org/ https://macarthurlab.org/2018/10/17/gnomad-v2-1/ 	V2.1.1; controls only	?	
gnomAD	amr	Latino/Admixed American				AMER_ADMIX	Admixed_American			?	
gnomAD	asj	Ashkenazi Jewish				PO000038L	Jews_Ashkenazi			yid, heb	
gnomAD	kor	Koreans	East Asian	eas		PO000030D	Koreans			kor	
gnomAD	jpn	Japanese	East Asian	eas		PO000010B	Japanese			jpn	
gnomAD	oea	Other East Asian	East Asian	eas		ASIA_E	East_Asian			?	Sino-Tibetan, Thai-Kadai ?
gnomAD	fin	Finnish				PO000018J	Finns			fin	
gnomAD	bgr	Bulgarian	Non-Finnish European	nfe		PO000397T	Bulgarian			bul	
gnomAD	est	Estonian	Non-Finnish European	nfe		PO000742N	Estonian			ekk, est	
gnomAD	nwe	North-Western European	Non-Finnish European	nfe		EURO_NW	NW_European			?	Germanic, Celtic ?
gnomAD	seu	Southern European	Non-Finnish European	nfe		EURO_S	S_European			?	Italic, Slavic, Greek, Albanian ?
gnomAD	swe	Swedish	Non-Finnish European	nfe		PO000413I	Swedes			swe	
gnomAD	onf	Other non-Finnish European	Non-Finnish European	nfe		EURO	European			?	Indo-European, Fino-Urgic, Basque ?
gnomAD	sas	South Asian				ASIA_S	South_Asian			?	Indo-Aryan, Dravidian ?
gnomAD	oth	Other (population not assigned)				OTHER	Other			?	
LDLink	ALL	All Populations			see 1000Genomes	WRLD	World	https://ldlink.nci.nih.gov/?tab=home 			
LDLink	AFR	African			see 1000Genomes	AFR	African				
LDLink	YRI	Yoruba in Ibadan, Nigera			see 1000Genomes						
LDLink	LWK	Luhya in Webuye, Kenya			see 1000Genomes						
LDLink	GWD	Gambian in Western Gambia			see 1000Genomes						
LDLink	MSL	Mende in Sierra Leone			see 1000Genomes						
LDLink	ESN	Esan in Nigera			see 1000Genomes						
LDLink	ASW	Americans of African Ancestry in SW USA			see 1000Genomes						
