Population	Languages	Tone
SE & SW Bantu	zul xho	1
San	naq	1
Mbuti Pygmy	efe mhi	1
Masai	mas	1
Sandawe	sad	1
Burunge	bds	1
Turu	rim lag	1
NE Bantu	kik	1
Biaka Pygmy	axk ngd lin	1
Zime	lme	1
Bakola Pygmy	gyi	1
Bamoun	bax	1
Yoruba	yor	1
Mandenka	mnk bra bam	1
Mozabite	mzb	0
Druze	apc arb	0
Palestinian	arb	0
Bedouin	ayl arb	0
Hazara	haz pes	0
Balochi	bgp	0
Pathan	pst	0
Burusho	bsk	1
Makrani	bcc	0
Brahui	brh	0
Kalash	kls	0
Sindhi	snd	0
Hezhen	gld	0
Mongola	mvf	0
Daur	dta	0
Orogen	orh	0
Miaozu	hmy	1
Yizu	yif	1
Tujia	tji	1
Han	cmn	1
Xibo	sjo	0
Uygur	uig	0
Dai	tdd	1
Lahu	lhu	1
She	shx	1
Naxi	nbf	1
Tu	mjg	0
Cambodian	khm	0
Japanese	jpn	1
Yakut	sah	0
NAN Melanesian	nas	0
French Basque	eus	0
French	fra	0
Sardinian	src	0
North Italian	vec	0
Tuscan	ita	0
Orcadian	sco	0
Russian	rus	0
Adygei	ady	0
Papuan		0 and 1
