ISO	Name	Tone	Tone_number	Tone_comments
abk	Abkhaz	None	0	
acr	Achi\', Rabinal dialect	None	0	
acv	Achumawi	Simple	2	
adj	Adjukru	Complex	4	
adz	Adzera	None	0	
aey	Amele	None	0	
agm	Angaatiha	Moderately complex	3	
agq	Aghem	Simple	2	
aht	Ahtna	None	0	
aid	Anguthimri	None	0	
ain	Ainu, Hokkaido dialect	Marginal	1	pitch-accent
akc	Mpur	Complex	4	
akz	Alabama	Simple	2	
alc	Qawasqar	None	0	
ale	Aleut, Eastern	None	0	
alh	Alawa	None	0	
als	Albanian, Tosk dialect	None	0	
amc	Amahuaca	None	0	
ame	Yanesha\'	None	0	
amh	Amharic	None	0	
amp	Alamblak	None	0	
amy	Emmi	None	0	
anc	Angas	Moderately complex	3	
ano	Andoke	Simple	2	
ape	Bukiyip	None	0	
apj	Jicarilla Apache	Moderately complex	3	
apn	Apinaye	None	0	
apu	Apurinã	None	0	
apy	Apalaí	None	0	
arh	Ika (Colombia)	None	0	
arl	Arabela	None	0	
arn	Mapudungun	None	0	
ary	Arabic, Moroccan	None	0	
arz	Egyptian Arabic	None	0	
asm	Assamese	None	0	
awn	Awngi	Simple	2	
axb	Abipon	None	0	
ayr	Aymara, Central	None	0	
ayz	Maybrat, Mayhapeh dialect of Ayawasi village	None	0	
bae	Baré	None	0	
bak	Bashkir	None	0	
bam	Bambara	Simple	2	
bao	Barasano, Northern	Simple	2	
bba	Bariba	Complex	4	
bbc	Batak, Toba	None	0	
bbl	Bats	None	0	
bcj	Bardi	None	0	
bck	Bunuba	None	0	
bcs	Kohumono	Moderately complex	3	
bdy	Bandjalang (Yugumbir)	None	0	
bej	Beja	None	0	not clear
ben	Bengali	None	0	
bgr	Bawm	Simple	2	
bjh	Bahinemo	None	0	pitch-accent
bkq	Bakairi	None	0	
blb	Bilua	None	0	
blc	Nuxalk	None	0	
blf	Buol	None	0	
bmi	Bagirmi	Moderately complex	3	
bmr	Muinane	Simple	2	
boa	Bora	Simple	2	
bom	Birom	Complex	7	
bor	Borôro	None	0	
brh	Brahui	None	0	
bsc	Basari (Guinée, Sénégal)	Moderately complex	4	
btx	Batak, Karo	None	0	
bul	Bulgarian	None	0	
bvr	Burarra	None	0	
byx	Baining	None	0	
bzd	Bribri	Simple	2	
bzi	Bisu	Moderately complex	3	
bzr	Biri	None	0	
cab	Garifuna	None	0	
cad	Caddo	Simple	2	Pitch-accent ?
caq	Car Nicobarese	None	0	
car	Kalihna	None	0	
cat	Catalan, Eastern	None	0	
cav	Cavineña	None	0	
cbg	Chimila	Simple	2	
cbi	Chachi	None	0	
cbv	Kakwa (Colombia)	Complex	4	
ccc	Chamicuro	None	0	
ces	Czech	None	0	
cgg	Nkore-Kiga	Simple	2	
cha	Chamorro	None	0	
chl	Cahuilla	None	0	
chv	Chuvash	None	0	
cjv	Chuave	None	0	Simple ?
ckt	Chukchi	None	0	
cku	Koasati	Moderately complex	3	
cmi	Emberá 	None	0	
cmn	Mandarin	Complex	4	
cns	Asmat, Central, Kawenal dialect	Marginal	2	
cof	Tsafiki	None	0	
com	Comanche	None	0	
con	Cofan	None	0	
