SNP	Allele_major	Allele_minor	Database	Population	N_alleles	MAF	Genotypes
rs930557	C	G	1000Genomes	ALL	5008	0.355	GG=452; CC=1177; CG=875 
rs930557	C	G	1000Genomes	AFR	1322	0.754	GG=365; CC=29; CG=267 
rs930557	C	G	1000Genomes	ACB	192	0.708	GG=43; CC=3; CG=50 
rs930557	C	G	1000Genomes	ASW	122	0.639	GG=24; CC=7; CG=30 
rs930557	C	G	1000Genomes	ESN	198	0.747	GG=52; CC=3; CG=44 
rs930557	C	G	1000Genomes	GWD	226	0.796	GG=71; CC=4; CG=38 
rs930557	C	G	1000Genomes	LWK	198	0.773	GG=58; CC=4; CG=37 
rs930557	C	G	1000Genomes	MSL	170	0.835	GG=60; CC=3; CG=22 
rs930557	C	G	1000Genomes	YRI	216	0.741	GG=57; CC=5; CG=46 
rs930557	C	G	1000Genomes	AMR	694	0.174	GG=13; CC=239; CG=95 
rs930557	C	G	1000Genomes	CLM	188	0.181	GG=3; CC=63; CG=28 
rs930557	C	G	1000Genomes	MXL	128	0.156	GG=1; CC=45; CG=18 
rs930557	C	G	1000Genomes	PEL	170	0.135	GG=2; CC=64; CG=19 
rs930557	C	G	1000Genomes	PUR	208	0.212	GG=7; CC=67; CG=30 
rs930557	C	G	1000Genomes	EAS	1008	0.236	GG=25; CC=291; CG=188 
rs930557	C	G	1000Genomes	CDX	186	0.29	GG=8; CC=47; CG=38 
rs930557	C	G	1000Genomes	CHB	206	0.194	GG=5; CC=68; CG=30 
rs930557	C	G	1000Genomes	CHS	210	0.219	GG=5; CC=64; CG=36 
rs930557	C	G	1000Genomes	JPT	208	0.25	GG=2; CC=54; CG=48 
rs930557	C	G	1000Genomes	KHV	198	0.232	GG=5; CC=58; CG=36 
rs930557	C	G	1000Genomes	EUR	1006	0.202	GG=23; CC=323; CG=157 
rs930557	C	G	1000Genomes	CEU	198	0.202	GG=3; CC=62; CG=34 
rs930557	C	G	1000Genomes	FIN	198	0.141	GG=2; CC=73; CG=24 
rs930557	C	G	1000Genomes	GBR	182	0.176	GG=2; CC=61; CG=28 
rs930557	C	G	1000Genomes	IBS	214	0.257	GG=7; CC=59; CG=41 
rs930557	C	G	1000Genomes	TSI	214	0.224	GG=9; CC=68; CG=30 
rs930557	C	G	1000Genomes	SAS	978	0.225	GG=26; CC=295; CG=168 
rs930557	C	G	1000Genomes	BEB	172	0.203	GG=1; CC=52; CG=33 
rs930557	C	G	1000Genomes	GIH	206	0.228	GG=9; CC=65; CG=29 
rs930557	C	G	1000Genomes	ITU	204	0.25	GG=8; CC=59; CG=35 
rs930557	C	G	1000Genomes	PJL	192	0.234	GG=5; CC=56; CG=35 
rs930557	C	G	1000Genomes	STU	204	0.206	GG=3; CC=63; CG=36 
