SNP	Allele_major	Allele_minor	Database	Population	N_alleles	MAF	Genotypes
rs41310927	T	C	1000Genomes	ALL	5008	0.214	TT=1600; CC=169; CT=735
rs41310927	T	C	1000Genomes	AFR	1322	0.043	TT=604; CT=57
rs41310927	T	C	1000Genomes	ACB	192	0.099	TT=77; CT=19
rs41310927	T	C	1000Genomes	ASW	122	0.074	TT=52; CT=9
rs41310927	T	C	1000Genomes	ESN	198	0.03	TT=93; CT=6
rs41310927	T	C	1000Genomes	GWD	226	0.027	TT=107; CT=6
rs41310927	T	C	1000Genomes	LWK	198	0.035	TT=92; CT=7
rs41310927	T	C	1000Genomes	MSL	170	0.041	TT=78; CT=7
rs41310927	T	C	1000Genomes	YRI	216	0.014	TT=105; CT=3
rs41310927	T	C	1000Genomes	AMR	694	0.228	TT=205; CC=16; CT=126
rs41310927	T	C	1000Genomes	CLM	188	0.314	TT=42; CC=7; CT=45
rs41310927	T	C	1000Genomes	MXL	128	0.242	TT=35; CC=2; CT=27
rs41310927	T	C	1000Genomes	PEL	170	0.112	TT=67; CC=1; CT=17
rs41310927	T	C	1000Genomes	PUR	208	0.236	TT=61; CC=6; CT=37
rs41310927	T	C	1000Genomes	EAS	1008	0.164	TT=358; CC=19; CT=127
rs41310927	T	C	1000Genomes	CDX	186	0.161	TT=66; CC=3; CT=24
rs41310927	T	C	1000Genomes	CHB	206	0.204	TT=66; CC=5; CT=32
rs41310927	T	C	1000Genomes	CHS	210	0.148	TT=77; CC=3; CT=25
rs41310927	T	C	1000Genomes	JPT	208	0.159	TT=75; CC=4; CT=25
rs41310927	T	C	1000Genomes	KHV	198	0.146	TT=74; CC=4; CT=21
rs41310927	T	C	1000Genomes	EUR	1006	0.411	TT=176; CC=86; CT=241
rs41310927	T	C	1000Genomes	CEU	198	0.399	TT=32; CC=12; CT=55
rs41310927	T	C	1000Genomes	FIN	198	0.354	TT=44; CC=15; CT=40
rs41310927	T	C	1000Genomes	GBR	182	0.484	TT=23; CC=20; CT=48
rs41310927	T	C	1000Genomes	IBS	214	0.393	TT=41; CC=18; CT=48
rs41310927	T	C	1000Genomes	TSI	214	0.43	TT=36; CC=21; CT=50
rs41310927	T	C	1000Genomes	SAS	978	0.286	TT=257; CC=48; CT=184
rs41310927	T	C	1000Genomes	BEB	172	0.267	TT=48; CC=8; CT=30
rs41310927	T	C	1000Genomes	GIH	206	0.291	TT=55; CC=12; CT=36
rs41310927	T	C	1000Genomes	ITU	204	0.26	TT=56; CC=7; CT=39
rs41310927	T	C	1000Genomes	PJL	192	0.307	TT=46; CC=9; CT=41
rs41310927	T	C	1000Genomes	STU	204	0.304	TT=52; CC=12; CT=38
